Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	001	31-JUL-14 15:46:55	User Waypoint	N31.52412 W108.96676	1636 m				Symbol & Name	Black	Flag, Blue							
Waypoint	002	06-AUG-14 14:53:56	User Waypoint	N31.58788 W109.02852	1491 m				Symbol & Name	Black	Flag, Blue							
Waypoint	4M Wide	03-AUG-14 18:02:05	User Waypoint	N31.38197 W110.38943	1658 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Ah Secret	31-JUL-14 10:07:04	User Waypoint	N31.49761 W109.02132	1739 m				Symbol & Name	Black	Flag, Blue							
Waypoint	At Base Bow M	27-JUL-14 13:59:47	User Waypoint	N31.55251 W108.98311	1656 m				Symbol & Name	Black	Flag, Blue							
Waypoint	BelwMtp LGNoHB	30-JUL-14 10:47:31	User Waypoint	N31.50582 W109.01295	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Camp Syc Canyn	03-AUG-14 18:31:56	User Waypoint	N31.37615 W110.39057	1646 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Coati 2P 4J	06-AUG-14 14:01:25	User Waypoint	N31.58954 W109.02506	1501 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont 2Dam 2MWD	06-AUG-14 16:11:03	User Waypoint	N31.58974 W109.02829	1490 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont D Hyla	26-JUL-14 16:43:19	User Waypoint	N31.52429 W108.96719	1628 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont Start Hyl	30-JUL-14 12:12:11	User Waypoint	N31.50812 W109.00948	1682 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont Startnohb	01-AUG-14 10:47:25	User Waypoint	N31.48447 W109.02471	1805 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont Stop 1Mw	30-JUL-14 12:14:23	User Waypoint	N31.50815 W109.00928	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Cont U 2Mw	26-JUL-14 16:44:59	User Waypoint	N31.52431 W108.96750	1629 m				Symbol & Name	Black	Flag, Blue							
Waypoint	ContD	25-JUL-14 16:34:59	User Waypoint	N31.49187 W108.94488	1626 m				Symbol & Name	Black	Flag, Blue							
Waypoint	ContD2	25-JUL-14 16:48:53	User Waypoint	N31.49195 W108.94526	1629 m				Symbol & Name	Black	Flag, Blue							
Waypoint	ContU1mW	25-JUL-14 16:36:11	User Waypoint	N31.49190 W108.94504	1628 m				Symbol & Name	Black	Flag, Blue							
Waypoint	ContU1mW 2	25-JUL-14 16:50:19	User Waypoint	N31.49198 W108.94537	1630 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Dbl T1 1725 M2	04-AUG-14 16:47:04	User Waypoint	N31.37479 W110.39519	1655 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Dbl T2 2931 M2	04-AUG-14 16:39:18	User Waypoint	N31.37478 W110.39563	1656 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Dead Mouse	07-AUG-14 8:35:51	User Waypoint	N31.57700 W108.99555	1521 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Dead Turt Outf	04-AUG-14 10:11:07	User Waypoint	N31.39475 W110.38769	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Dead turtle80?	03-AUG-14 16:08:00	User Waypoint	N31.39471 W110.38782	1699 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Deadmou5 CAMP	07-AUG-14 8:35:05	User Waypoint	N31.57693 W108.99549	1522 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Deep Med	06-AUG-14 12:00:50	User Waypoint	N31.57318 W108.98961	1546 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Deep Pool 12M2	30-JUL-14 10:29:23	User Waypoint	N31.50610 W109.01306	1696 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Eye Fuck 2m2st	03-AUG-14 17:45:18	User Waypoint	N31.38729 W110.39091	1665 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Eyed From Pine	06-AUG-14 17:19:05	User Waypoint	N31.58908 W109.01835	1498 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Gartsnk Az	03-AUG-14 17:14:16	User Waypoint	N31.39142 W110.38937	1679 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Grtsnk	30-JUL-14 12:10:02	User Waypoint	N31.50821 W109.00927	1682 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Gs1	26-JUL-14 16:31:06	User Waypoint	N31.52424 W108.96736	1631 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Gtrsnk	30-JUL-14 10:26:33	User Waypoint	N31.50625 W109.01321	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Hylatad	06-AUG-14 11:53:49	User Waypoint	N31.57341 W108.98934	1541 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Irishman Trail	06-AUG-14 12:49:23	User Waypoint	N31.58017 W109.00311	1538 m				Symbol & Name	Black	Flag, Blue							
Waypoint	L 20m2	25-JUL-14 16:24:14	User Waypoint	N31.49176 W108.94430	1623 m				Symbol & Name	Black	Flag, Blue							
Waypoint	L 64M2	25-JUL-14 15:35:46	User Waypoint	N31.48570 W108.94730	1605 m				Symbol & Name	Black	Flag, Blue							
Waypoint	L1	25-JUL-14 16:28:39	User Waypoint	N31.49184 W108.94479	1626 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Lg Hyla	30-JUL-14 11:15:04	User Waypoint	N31.50650 W109.00999	1678 m				Symbol & Name	Black	Flag, Blue							
