Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	003	28-NOV-13 11:05:06	User Waypoint	N31.50660 W109.01007	1696 m				Symbol & Name	Black	Flag, Blue							
Waypoint	004	28-NOV-13 11:05:32	User Waypoint	N31.50657 W109.00995	1696 m				Symbol & Name	Black	Flag, Blue							
Waypoint	005	28-NOV-13 11:05:52	User Waypoint	N31.50639 W109.00993	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	006	28-NOV-13 11:07:34	User Waypoint	N31.50575 W109.01021	1699 m				Symbol & Name	Black	Flag, Blue							
Waypoint	007	28-NOV-13 11:07:46	User Waypoint	N31.50571 W109.01027	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	008	28-NOV-13 11:07:48	User Waypoint	N31.50569 W109.01027	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	009	28-NOV-13 11:07:59	User Waypoint	N31.50563 W109.01030	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	010	28-NOV-13 11:08:10	User Waypoint	N31.50563 W109.01022	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	011	28-NOV-13 11:08:17	User Waypoint	N31.50562 W109.01023	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	012	28-NOV-13 11:08:30	User Waypoint	N31.50555 W109.01023	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	013	28-NOV-13 11:08:38	User Waypoint	N31.50553 W109.01021	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	014	28-NOV-13 11:08:46	User Waypoint	N31.50550 W109.01023	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	015	28-NOV-13 11:09:49	User Waypoint	N31.50533 W109.01030	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	016	28-NOV-13 11:10:17	User Waypoint	N31.50525 W109.01039	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	017	28-NOV-13 11:10:37	User Waypoint	N31.50517 W109.01052	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	018	28-NOV-13 11:10:40	User Waypoint	N31.50518 W109.01053	1698 m				Symbol & Name	Black	Flag, Blue							
Waypoint	019	28-NOV-13 11:12:31	User Waypoint	N31.50514 W109.01163	1700 m				Symbol & Name	Black	Flag, Blue							
Waypoint	020	28-NOV-13 11:12:51	User Waypoint	N31.50512 W109.01168	1700 m				Symbol & Name	Black	Flag, Blue							
Waypoint	021	28-NOV-13 11:15:22	User Waypoint	N31.50571 W109.01282	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	022	28-NOV-13 11:16:15	User Waypoint	N31.50584 W109.01304	1701 m				Symbol & Name	Black	Flag, Blue							
Waypoint	023	28-NOV-13 11:16:21	User Waypoint	N31.50585 W109.01306	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	024	28-NOV-13 11:17:24	User Waypoint	N31.50587 W109.01306	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	025	28-NOV-13 11:18:31	User Waypoint	N31.50587 W109.01300	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	026	28-NOV-13 11:18:34	User Waypoint	N31.50587 W109.01299	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	027	28-NOV-13 11:18:56	User Waypoint	N31.50591 W109.01299	1702 m				Symbol & Name	Black	Flag, Blue							
Waypoint	028	28-NOV-13 11:19:40	User Waypoint	N31.50611 W109.01307	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	029	28-NOV-13 11:20:09	User Waypoint	N31.50616 W109.01316	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	030	28-NOV-13 11:20:44	User Waypoint	N31.50616 W109.01317	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	031	28-NOV-13 11:20:53	User Waypoint	N31.50618 W109.01320	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	032	28-NOV-13 11:20:57	User Waypoint	N31.50620 W109.01319	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	033	28-NOV-13 11:21:02	User Waypoint	N31.50619 W109.01322	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	034	28-NOV-13 11:21:07	User Waypoint	N31.50620 W109.01323	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	035	28-NOV-13 11:22:01	User Waypoint	N31.50636 W109.01361	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	036	28-NOV-13 11:22:21	User Waypoint	N31.50632 W109.01372	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	037	28-NOV-13 11:22:27	User Waypoint	N31.50632 W109.01373	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	038	28-NOV-13 11:22:32	User Waypoint	N31.50632 W109.01376	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	039	28-NOV-13 11:23:27	User Waypoint	N31.50641 W109.01386	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	040	28-NOV-13 11:23:42	User Waypoint	N31.50633 W109.01387	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	041	28-NOV-13 11:23:54	User Waypoint	N31.50627 W109.01391	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	042	28-NOV-13 11:24:01	User Waypoint	N31.50622 W109.01391	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	043	28-NOV-13 11:25:46	User Waypoint	N31.50583 W109.01431	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	044	28-NOV-13 11:25:50	User Waypoint	N31.50581 W109.01432	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	045	28-NOV-13 11:26:07	User Waypoint	N31.50579 W109.01436	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	046	28-NOV-13 11:26:24	User Waypoint	N31.50572 W109.01442	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	047	28-NOV-13 11:26:27	User Waypoint	N31.50573 W109.01444	1706 m				Symbol & Name	Black	Flag, Blue							
Waypoint	048	28-NOV-13 11:29:29	User Waypoint	N31.50454 W109.01504	1708 m				Symbol & Name	Black	Flag, Blue							
Waypoint	049	28-NOV-13 11:30:54	User Waypoint	N31.50394 W109.01463	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	050	28-NOV-13 11:30:58	User Waypoint	N31.50417 W109.01562	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	051	28-NOV-13 11:31:16	User Waypoint	N31.50418 W109.01575	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	052	28-NOV-13 11:31:58	User Waypoint	N31.50397 W109.01593	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	053	28-NOV-13 11:32:10	User Waypoint	N31.50399 W109.01597	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	054	28-NOV-13 11:32:12	User Waypoint	N31.50399 W109.01597	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	055	28-NOV-13 11:32:18	User Waypoint	N31.50399 W109.01598	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	056	28-NOV-13 11:32:22	User Waypoint	N31.50400 W109.01599	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	057	28-NOV-13 11:32:25	User Waypoint	N31.50401 W109.01600	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	058	28-NOV-13 11:33:13	User Waypoint	N31.50392 W109.01618	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	059	28-NOV-13 11:33:17	User Waypoint	N31.50392 W109.01620	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	060	28-NOV-13 11:33:22	User Waypoint	N31.50392 W109.01621	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	061	28-NOV-13 11:33:47	User Waypoint	N31.50390 W109.01626	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	062	28-NOV-13 11:34:46	User Waypoint	N31.50395 W109.01634	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	063	28-NOV-13 11:34:57	User Waypoint	N31.50391 W109.01632	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	064	28-NOV-13 11:35:05	User Waypoint	N31.50387 W109.01632	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	065	28-NOV-13 11:35:09	User Waypoint	N31.50388 W109.01631	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	066	28-NOV-13 11:35:16	User Waypoint	N31.50388 W109.01635	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	067	28-NOV-13 11:35:21	User Waypoint	N31.50390 W109.01637	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	068	28-NOV-13 11:35:27	User Waypoint	N31.50393 W109.01636	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	069	28-NOV-13 11:35:58	User Waypoint	N31.50391 W109.01642	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	070	28-NOV-13 11:36:00	User Waypoint	N31.50392 W109.01642	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	071	28-NOV-13 11:36:05	User Waypoint	N31.50394 W109.01643	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	072	28-NOV-13 11:36:10	User Waypoint	N31.50395 W109.01647	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	073	28-NOV-13 11:36:15	User Waypoint	N31.50393 W109.01647	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	074	28-NOV-13 11:36:17	User Waypoint	N31.50392 W109.01648	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	075	28-NOV-13 11:36:20	User Waypoint	N31.50393 W109.01649	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	076	28-NOV-13 11:36:27	User Waypoint	N31.50389 W109.01648	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	077	28-NOV-13 11:36:47	User Waypoint	N31.50387 W109.01658	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	078	28-NOV-13 11:36:50	User Waypoint	N31.50386 W109.01658	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	079	28-NOV-13 11:36:52	User Waypoint	N31.50385 W109.01658	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	080	28-NOV-13 11:36:55	User Waypoint	N31.50383 W109.01659	1712 m				Symbol & Name	Black	Flag, Blue							
Waypoint	081	28-NOV-13 11:36:58	User Waypoint	N31.50384 W109.01660	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	082	28-NOV-13 11:37:04	User Waypoint	N31.50386 W109.01662	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	083	28-NOV-13 11:37:09	User Waypoint	N31.50383 W109.01664	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	084	28-NOV-13 11:37:15	User Waypoint	N31.50383 W109.01666	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	085	28-NOV-13 11:37:17	User Waypoint	N31.50384 W109.01667	1714 m				Symbol & Name	Black	Flag, Blue							
Waypoint	086	28-NOV-13 11:37:20	User Waypoint	N31.50386 W109.01667	1713 m				Symbol & Name	Black	Flag, Blue							
Waypoint	087	28-NOV-13 11:59:51	User Waypoint	N31.50375 W109.01679	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	088	28-NOV-13 11:59:59	User Waypoint	N31.50372 W109.01685	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	089	28-NOV-13 12:00:06	User Waypoint	N31.50375 W109.01686	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	090	28-NOV-13 12:00:09	User Waypoint	N31.50375 W109.01687	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	091	28-NOV-13 12:00:11	User Waypoint	N31.50375 W109.01688	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	092	28-NOV-13 12:00:19	User Waypoint	N31.50372 W109.01690	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	093	28-NOV-13 12:00:22	User Waypoint	N31.50371 W109.01690	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	094	28-NOV-13 12:00:59	User Waypoint	N31.50367 W109.01692	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	095	28-NOV-13 12:01:02	User Waypoint	N31.50366 W109.01690	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	096	28-NOV-13 12:01:11	User Waypoint	N31.50366 W109.01692	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	097	28-NOV-13 12:01:13	User Waypoint	N31.50366 W109.01693	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	098	28-NOV-13 12:01:14	User Waypoint	N31.50367 W109.01693	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	099	28-NOV-13 12:01:16	User Waypoint	N31.50367 W109.01694	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	100	28-NOV-13 12:01:51	User Waypoint	N31.50360 W109.01692	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	101	28-NOV-13 12:01:53	User Waypoint	N31.50359 W109.01692	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	102	28-NOV-13 12:01:59	User Waypoint	N31.50359 W109.01695	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	103	28-NOV-13 12:02:02	User Waypoint	N31.50358 W109.01697	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	104	28-NOV-13 12:02:07	User Waypoint	N31.50357 W109.01698	1714 m				Symbol & Name	Black	Flag, Blue							
Waypoint	105	28-NOV-13 12:02:10	User Waypoint	N31.50356 W109.01696	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	106	28-NOV-13 12:02:12	User Waypoint	N31.50355 W109.01698	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	107	28-NOV-13 12:02:19	User Waypoint	N31.50353 W109.01701	1715 m				Symbol & Name	Black	Flag, Blue							
Waypoint	108	28-NOV-13 12:02:23	User Waypoint	N31.50351 W109.01703	1714 m				Symbol & Name	Black	Flag, Blue							
Waypoint	109	28-NOV-13 12:02:47	User Waypoint	N31.50335 W109.01713	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	10Sm	28-NOV-13 10:48:01	User Waypoint	N31.50765 W109.01021	1691 m				Symbol & Name	Black	Flag, Blue							
Waypoint	110	28-NOV-13 12:03:21	User Waypoint	N31.50316 W109.01733	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	111	28-NOV-13 12:03:26	User Waypoint	N31.50316 W109.01737	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	112	28-NOV-13 12:03:39	User Waypoint	N31.50313 W109.01741	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	113	28-NOV-13 12:03:51	User Waypoint	N31.50309 W109.01748	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	114	28-NOV-13 12:03:53	User Waypoint	N31.50309 W109.01747	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	115	28-NOV-13 12:03:54	User Waypoint	N31.50308 W109.01748	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	116	28-NOV-13 12:03:57	User Waypoint	N31.50308 W109.01749	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	117	28-NOV-13 12:04:01	User Waypoint	N31.50307 W109.01751	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	118	28-NOV-13 12:04:08	User Waypoint	N31.50304 W109.01749	1719 m				Symbol & Name	Black	Flag, Blue							
Waypoint	119	28-NOV-13 12:04:17	User Waypoint	N31.50304 W109.01755	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	11Sm	28-NOV-13 10:48:40	User Waypoint	N31.50761 W109.01030	1692 m				Symbol & Name	Black	Flag, Blue							
Waypoint	120	28-NOV-13 12:04:26	User Waypoint	N31.50301 W109.01759	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	121	28-NOV-13 12:04:41	User Waypoint	N31.50300 W109.01760	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	122	28-NOV-13 12:04:43	User Waypoint	N31.50300 W109.01760	1719 m				Symbol & Name	Black	Flag, Blue							
Waypoint	123	28-NOV-13 12:04:48	User Waypoint	N31.50297 W109.01763	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	124	28-NOV-13 12:05:10	User Waypoint	N31.50290 W109.01778	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	125	28-NOV-13 12:05:27	User Waypoint	N31.50283 W109.01765	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	126	28-NOV-13 12:06:04	User Waypoint	N31.50284 W109.01780	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	127	28-NOV-13 12:06:28	User Waypoint	N31.50284 W109.01783	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	128	28-NOV-13 12:06:31	User Waypoint	N31.50283 W109.01782	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	129	28-NOV-13 12:06:35	User Waypoint	N31.50282 W109.01784	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	12Md	28-NOV-13 11:15:54	User Waypoint	N31.50582 W109.01300	1701 m				Symbol & Name	Black	Flag, Blue							
Waypoint	130	28-NOV-13 12:07:55	User Waypoint	N31.50279 W109.01781	1718 m				Symbol & Name	Black	Flag, Blue							
Waypoint	131	28-NOV-13 12:10:23	User Waypoint	N31.50181 W109.01750	1720 m				Symbol & Name	Black	Flag, Blue							
Waypoint	132	28-NOV-13 12:10:30	User Waypoint	N31.50181 W109.01746	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	133	28-NOV-13 12:11:22	User Waypoint	N31.50151 W109.01729	1720 m				Symbol & Name	Black	Flag, Blue							
Waypoint	134	28-NOV-13 12:11:54	User Waypoint	N31.50144 W109.01733	1720 m				Symbol & Name	Black	Flag, Blue							
Waypoint	135	28-NOV-13 12:11:57	User Waypoint	N31.50143 W109.01734	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	136	28-NOV-13 12:12:01	User Waypoint	N31.50141 W109.01735	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	137	28-NOV-13 12:12:05	User Waypoint	N31.50139 W109.01736	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	138	28-NOV-13 12:12:09	User Waypoint	N31.50141 W109.01739	1720 m				Symbol & Name	Black	Flag, Blue							
Waypoint	139	28-NOV-13 12:12:17	User Waypoint	N31.50136 W109.01739	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	13Md	28-NOV-13 11:20:13	User Waypoint	N31.50617 W109.01316	1703 m				Symbol & Name	Black	Flag, Blue							
Waypoint	140	28-NOV-13 12:13:26	User Waypoint	N31.50103 W109.01785	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	141	28-NOV-13 12:13:30	User Waypoint	N31.50105 W109.01785	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	142	28-NOV-13 12:13:35	User Waypoint	N31.50103 W109.01787	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	143	28-NOV-13 12:13:54	User Waypoint	N31.50091 W109.01801	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	144	28-NOV-13 12:13:59	User Waypoint	N31.50089 W109.01803	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	145	28-NOV-13 12:14:05	User Waypoint	N31.50087 W109.01806	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	146	28-NOV-13 12:14:06	User Waypoint	N31.50086 W109.01807	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	147	28-NOV-13 12:14:12	User Waypoint	N31.50086 W109.01810	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	148	28-NOV-13 12:14:16	User Waypoint	N31.50085 W109.01811	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	149	28-NOV-13 12:14:22	User Waypoint	N31.50082 W109.01815	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	14Md	28-NOV-13 11:32:56	User Waypoint	N31.50392 W109.01615	1710 m				Symbol & Name	Black	Flag, Blue							
Waypoint	150	28-NOV-13 12:14:30	User Waypoint	N31.50079 W109.01819	1722 m				Symbol & Name	Black	Flag, Blue							
Waypoint	151	28-NOV-13 12:16:17	User Waypoint	N31.50028 W109.01867	1723 m				Symbol & Name	Black	Flag, Blue							
Waypoint	152	28-NOV-13 12:16:37	User Waypoint	N31.50015 W109.01875	1723 m				Symbol & Name	Black	Flag, Blue							
Waypoint	153	28-NOV-13 12:17:08	User Waypoint	N31.49998 W109.01853	1724 m				Symbol & Name	Black	Flag, Blue							
Waypoint	154	28-NOV-13 12:17:10	User Waypoint	N31.49999 W109.01890	1724 m				Symbol & Name	Black	Flag, Blue							
